Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Leading percentages	Reference
"2p5.3s.(3P*).7s"	"2P*"	"3/2"	4	""	"302686"	""	"7"	"  71                                           or  :    96  2p5.3s.(3P*<2>).7s    2[2]*       "	""
"2p5.3s.(3P*).6d"	"2P*?"	"1/2"	2	""	"302830"	""	"7"	"  63                                           or  :    37  2p5.3s.(3P*<2>).6d    2[1]*       "	""
"2p5.3s.(3P*).6d"	"4P*?"	"1/2,3/2"	6	""	"303233"	""	"7"	"  63                                           or  :        2p5.3s.(3P*<2>).6d    2[0]*,2[1]* "	""
"2p5.3s.(3P*).7s"	"2P*,4P*"	"1/2,3/2"	6	""	"303401"	""	"7"	"                                               or  :    89  2p5.3s.(3P*<1>).7s    2[1]*       "	""
"2p5.3s.(3P*).6d"	"4D*?"	"1/2"	2	""	"303683"	""	"7"	"                                               or  :        2p5.3s.(3P*<1>).6d    2[1]*       "	""
"2p5.3s.(3P*).8s"	"2P*?"	"3/2"	4	""	"303739"	""	"18"	"  73                                           or  :    92  2p5.3s.(3P*<2>).8s    2[2]*       "	""
"2p5.3s.(3P*).7s"	"4P*"	"1/2"	2	""	"303974"	""	"7"	"  56                                           or  :    94  2p5.3s.(3P*<0>).7s    2[0]*       "	""
"2p5.3s.(3P*).7d"	"4P*?"	"3/2"	4	""	"304054"	""	"7"	"  61                                           or  :    65  2p5.3s.(3P*<2>).7d    2[1]*       "	""
"2p5.3s.(3P*).7d"	"2P*?"	"1/2"	2	""	"304090"	""	"18"	"  20  2p5.(2P*).3p2.(3P) 2P*                   or  :    17  2p5.3s.(3P*<2>).7d    2[0]*       "	""
"2p5.3s.(3P*).9s"	"2P*"	"3/2"	4	""	"304371"	""	"7"	"  66                                           or  :    81  2p5.3s.(3P*<2>).9s    2[2]*       "	""
"2p5.3s.(1P*).6s"	"2P*"	"1/2,3/2"	6	""	"304451"	""	"7"	"  47                                           or  :    47  2p5.3s.(1P*<1>).6s    2[1]*       "	""
"2p5.3s.(3P*).6d"	"4F*?"	"3/2"	4	""	"304547"	""	"7"	"  31                                           or  :    18  2p5.3s.(3P*<0>).6d    2[2]*       "	""
"2p5.3s.(3P*).8d"	"4P*"	"1/2,3/2"	6	""	"304609"	""	"7"	"  63                                           or  :    69  2p5.3s.(3P*<2>).8d    2[0]*,2[1]* "	""
